"Year","Province","Count"
1890,"Ontario",1
1890,"Nova Scotia",0
1890,"British Columbia",0
1890,"Newfoundland and Labrador",0
1890,"New Brunswick",0
1890,"Alberta",0
1891,"Ontario",1
1891,"Nova Scotia",0
1891,"British Columbia",0
1891,"Newfoundland and Labrador",0
1891,"New Brunswick",0
1891,"Alberta",0
1892,"Ontario",1
1892,"Nova Scotia",0
1892,"British Columbia",0
1892,"Newfoundland and Labrador",0
1892,"New Brunswick",0
1892,"Alberta",0
1893,"Ontario",1
1893,"Nova Scotia",0
1893,"British Columbia",0
1893,"Newfoundland and Labrador",0
1893,"New Brunswick",0
1893,"Alberta",0
1894,"Ontario",1
1894,"Nova Scotia",0
1894,"British Columbia",0
1894,"Newfoundland and Labrador",0
1894,"New Brunswick",0
1894,"Alberta",0
1895,"Ontario",1
1895,"Nova Scotia",0
1895,"British Columbia",0
1895,"Newfoundland and Labrador",0
1895,"New Brunswick",0
1895,"Alberta",0
1896,"Ontario",1
1896,"Nova Scotia",0
1896,"British Columbia",0
1896,"Newfoundland and Labrador",0
1896,"New Brunswick",0
1896,"Alberta",0
1897,"Ontario",1
1897,"Nova Scotia",0
1897,"British Columbia",0
1897,"Newfoundland and Labrador",0
1897,"New Brunswick",0
1897,"Alberta",0
1898,"Ontario",1
1898,"Nova Scotia",0
1898,"British Columbia",0
1898,"Newfoundland and Labrador",0
1898,"New Brunswick",0
1898,"Alberta",0
1899,"Ontario",1
1899,"Nova Scotia",0
1899,"British Columbia",0
1899,"Newfoundland and Labrador",0
1899,"New Brunswick",0
1899,"Alberta",0
1900,"Ontario",1
1900,"Nova Scotia",0
1900,"British Columbia",0
1900,"Newfoundland and Labrador",0
1900,"New Brunswick",0
1900,"Alberta",0
1901,"Ontario",1
1901,"Nova Scotia",0
1901,"British Columbia",0
1901,"Newfoundland and Labrador",0
1901,"New Brunswick",0
1901,"Alberta",0
1902,"Ontario",1
1902,"Nova Scotia",0
1902,"British Columbia",0
1902,"Newfoundland and Labrador",0
1902,"New Brunswick",0
1902,"Alberta",0
1903,"Ontario",1
1903,"Nova Scotia",0
1903,"British Columbia",0
1903,"Newfoundland and Labrador",0
1903,"New Brunswick",0
1903,"Alberta",0
1904,"Ontario",1
1904,"Nova Scotia",0
1904,"British Columbia",0
1904,"Newfoundland and Labrador",0
1904,"New Brunswick",0
1904,"Alberta",0
1905,"Ontario",1
1905,"Nova Scotia",0
1905,"British Columbia",0
1905,"Newfoundland and Labrador",0
1905,"New Brunswick",0
1905,"Alberta",0
1906,"Ontario",1
1906,"Nova Scotia",0
1906,"British Columbia",0
1906,"Newfoundland and Labrador",0
1906,"New Brunswick",0
1906,"Alberta",0
1907,"Ontario",1
1907,"Nova Scotia",0
1907,"British Columbia",0
1907,"Newfoundland and Labrador",0
1907,"New Brunswick",0
1907,"Alberta",0
1908,"Ontario",1
1908,"Nova Scotia",0
1908,"British Columbia",0
1908,"Newfoundland and Labrador",0
1908,"New Brunswick",0
1908,"Alberta",0
1909,"Ontario",1
1909,"Nova Scotia",0
1909,"British Columbia",0
1909,"Newfoundland and Labrador",0
1909,"New Brunswick",0
1909,"Alberta",0
1910,"Ontario",1
1910,"Nova Scotia",0
1910,"British Columbia",0
1910,"Newfoundland and Labrador",0
1910,"New Brunswick",0
1910,"Alberta",0
1911,"Ontario",1
1911,"Nova Scotia",0
1911,"British Columbia",0
1911,"Newfoundland and Labrador",0
1911,"New Brunswick",0
1911,"Alberta",0
1912,"Ontario",1
1912,"Nova Scotia",0
1912,"British Columbia",0
1912,"Newfoundland and Labrador",0
1912,"New Brunswick",0
1912,"Alberta",0
1913,"Ontario",1
1913,"Nova Scotia",0
1913,"British Columbia",0
1913,"Newfoundland and Labrador",0
1913,"New Brunswick",0
1913,"Alberta",0
1914,"Ontario",1
1914,"Nova Scotia",0
1914,"British Columbia",0
1914,"Newfoundland and Labrador",0
1914,"New Brunswick",0
1914,"Alberta",0
1915,"Ontario",1
1915,"Nova Scotia",0
1915,"British Columbia",0
1915,"Newfoundland and Labrador",0
1915,"New Brunswick",0
1915,"Alberta",0
1916,"Ontario",1
1916,"Nova Scotia",0
1916,"British Columbia",0
1916,"Newfoundland and Labrador",0
1916,"New Brunswick",0
1916,"Alberta",0
1917,"Ontario",1
1917,"Nova Scotia",0
1917,"British Columbia",0
1917,"Newfoundland and Labrador",0
1917,"New Brunswick",0
1917,"Alberta",0
1918,"Ontario",1
1918,"Nova Scotia",0
1918,"British Columbia",0
1918,"Newfoundland and Labrador",0
1918,"New Brunswick",0
1918,"Alberta",0
1919,"Ontario",1
1919,"Nova Scotia",0
1919,"British Columbia",0
1919,"Newfoundland and Labrador",0
1919,"New Brunswick",0
1919,"Alberta",0
1920,"Ontario",1
1920,"Nova Scotia",0
1920,"British Columbia",0
1920,"Newfoundland and Labrador",0
1920,"New Brunswick",0
1920,"Alberta",0
1921,"Ontario",2
1921,"Nova Scotia",0
1921,"British Columbia",0
1921,"Newfoundland and Labrador",0
1921,"New Brunswick",0
1921,"Alberta",0
1922,"Ontario",2
1922,"Nova Scotia",0
1922,"British Columbia",0
1922,"Newfoundland and Labrador",0
1922,"New Brunswick",0
1922,"Alberta",0
1923,"Ontario",2
1923,"Nova Scotia",0
1923,"British Columbia",0
1923,"Newfoundland and Labrador",0
1923,"New Brunswick",0
1923,"Alberta",0
1924,"Ontario",2
1924,"Nova Scotia",0
1924,"British Columbia",0
1924,"Newfoundland and Labrador",0
1924,"New Brunswick",0
1924,"Alberta",0
1925,"Ontario",2
1925,"Nova Scotia",0
1925,"British Columbia",0
1925,"Newfoundland and Labrador",0
1925,"New Brunswick",0
1925,"Alberta",0
1926,"Ontario",2
1926,"Nova Scotia",0
1926,"British Columbia",0
1926,"Newfoundland and Labrador",0
1926,"New Brunswick",0
1926,"Alberta",0
1927,"Ontario",2
1927,"Nova Scotia",0
1927,"British Columbia",0
1927,"Newfoundland and Labrador",0
1927,"New Brunswick",0
1927,"Alberta",0
1928,"Ontario",2
1928,"Nova Scotia",0
1928,"British Columbia",0
1928,"Newfoundland and Labrador",0
1928,"New Brunswick",0
1928,"Alberta",0
1929,"Ontario",2
1929,"Nova Scotia",0
1929,"British Columbia",0
1929,"Newfoundland and Labrador",0
1929,"New Brunswick",0
1929,"Alberta",0
1930,"Ontario",2
1930,"Nova Scotia",0
1930,"British Columbia",0
1930,"Newfoundland and Labrador",0
1930,"New Brunswick",0
1930,"Alberta",0
1931,"Ontario",2
1931,"Nova Scotia",0
1931,"British Columbia",0
1931,"Newfoundland and Labrador",0
1931,"New Brunswick",0
1931,"Alberta",0
1932,"Ontario",3
1932,"Nova Scotia",0
1932,"British Columbia",0
1932,"Newfoundland and Labrador",0
1932,"New Brunswick",0
1932,"Alberta",0
1933,"Ontario",3
1933,"Nova Scotia",0
1933,"British Columbia",0
1933,"Newfoundland and Labrador",0
1933,"New Brunswick",0
1933,"Alberta",0
1934,"Ontario",3
1934,"Nova Scotia",0
1934,"British Columbia",0
