Date,Event,Citation
2011,Distribute Notice of Proposal,"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
2012,Environmental Studies and Reporting,"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
2011,Open House #1,"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
2012,Draft Project Reports to Municipality of Kincardine and to Aboriginal Communities,"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
2012,Draft Project Reports to Public,"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
2012,Open House #2,"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
2012,Submit REA Application,"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
2014,Site Preparation and Construction,"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
2014,Project testing and commissioning,"Construction Plan Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/3213/8368/5915/03_-_Construction_Plan_Report_DOC043_Rev3_30Nov12.pdf'>https://armowwind.com/files/3213/8368/5915/03_-_Construction_Plan_Report_DOC043_Rev3_30Nov12.pdf</a>"
2015,Commercial operations commenced,Pattern Energy Group LP. (2021). Arrow Wind :: Home. Retrieved from <a href='https://armowwind.com/'>https://armowwind.com/</a>
2034,Predicted decommissioning and repowering phase (according to 20-year contract),"Project Description Report. (2012, November 29). Golder Associates. Retrieved from <a href='https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf'>https://armowwind.com/files/6813/8368/0544/01_-_Project_Description_Report__DOC013_Rev4_30Nov12.pdf</a>"
