Date,Event,Citation
2015,"Aecon begins work, with 150 workers to install two turbines.",Chronicle-Herald. (2015). <i>Cape Sharp tidings</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1774631787?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1774631787?accountid=9894</a>
2015,Atlantic Towing Limited has secures contract to provide marine tug and barge services to Cape Sharp Tidal project,Wireless News. (2015). <i> Cape Sharp Tidal Taps Atlantic Towing for Marine Operations Contract</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1734599641?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1734599641?accountid=9894</a>
2015,First Tidal Interconnection cables installed,Wireless News. (2015). <i> Cape Sharp Tidal Completes 2 Milestone Operations</i>. Retrieved from <a href='Cape Sharp Tidal Completes 2 Milestone Operations'</a> 
2016,Deployment barge ready,International Water Power and Dam Construction. (2016). <i> Milestone achievements for Cape Sharp Tidal</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1787963753?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1787963753?accountid=9894</a>
2016,Deployment halted due community concern and engagement from owners.,Chronicle-Herald. (2016). <i>Fundy turbine launch halted; Cape Sharp plans to hold consultation on tidal tests</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1793757344?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1793757344?accountid=9894</a>
2016,Tidal power from the project hits the grid. From the deployment Nov 7th,Chronicle-Herald. (2016). <i>Cape Sharp Tidal power hit the grid</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1842554090?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1842554090?accountid=9894</a>
2017,Judge dismissed a review of the decision that approved the turbine installation in the Bay of Fundy,"Desveaux, H. (2017). <i>Judge backs Cape Sharp tidal power</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1974992440?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1974992440?accountid=9894</a>"
2017,Cape Sharp tidal misses its window to remove the turbines. ,"Desveaux, H. (2017). <i>Cape Sharp on recovery mission</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1975021819?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1975021819?accountid=9894</a>"
2017,Cape Sharp Tidal was able to recover the turbines and decided to scrap testing in St. Marys Bay,Chronicle-Herald. (2017). <i> Cape Sharp axes test in St. Mary's Bay</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1911203093?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1911203093?accountid=9894</a>
2018,Owners told OpenHydro and its liquidators that it is withdrawing from Cape Sharp Tidal.,"Beswick, A. (2018). <i>Emera drops Cape Sharp</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/2088309736?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/2088309736?accountid=9894</a>"
2018,"The Cape Sharp Tidal turbine spinning in the Bay of Fundy is now remotely monitored, the project suspended when Naval Energies pulled its funding.",The Canadian Press. (2018). <i>Cape Sharp Tidal Turbine in Bay of Fundy being monitored remotely: Emera</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/2100997294?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/2100997294?accountid=9894</a>
2018,Team brought into Cape Sharp Tidal turbine in the Bay of Fundy is trying to determine why the machine's rotor is not turning.,The Canadian Press. (2018). <i>Team Investigating why rotor not turning on Cape Sharp tidal turbine</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/2109227290?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/2109227290?accountid=9894</a>
2019,Nova Scotia's government orders the removal of tidal turbine from the the Bay of Fundy after revoking the company's licence.,The Globe and Mail. (2019). <i>Nova Scotia Government To End Cape Sharp Tidal Turbine Project</i>. <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/2202701571?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/2202701571?accountid=9894</a>
