Date,Event,Citation
1896,Project was designed,"Hughes, A. (2008). <i>Shades of Reynoldsville and Decew Town: A History of Power Glen and Vicinity</i>. Historical Society of St. Catharines.Retrieved from <a href='https://brocku.ca/social-sciences/geography/wp-content/uploads/sites/152/Shades-of-Reynoldsville-and-Decew-Town-A-History-of-Power-Glen-and-Vicinity.pdf'>https://brocku.ca/social-sciences/geography/wp-content/uploads/sites/152/Shades-of-Reynoldsville-and-Decew-Town-A-History-of-Power-Glen-and-Vicinity.pdf</a> "
1897,Construction begins,"Hughes, A. (2008). <i>Shades of Reynoldsville and Decew Town: A History of Power Glen and Vicinity</i>. Historical Society of St. Catharines.Retrieved from <a href='https://brocku.ca/social-sciences/geography/wp-content/uploads/sites/152/Shades-of-Reynoldsville-and-Decew-Town-A-History-of-Power-Glen-and-Vicinity.pdf'>https://brocku.ca/social-sciences/geography/wp-content/uploads/sites/152/Shades-of-Reynoldsville-and-Decew-Town-A-History-of-Power-Glen-and-Vicinity.pdf</a> "
1898,First ever long-distance transmission of energy at high voltages in Canada.,"Hughes, A. (2008). <i>Shades of Reynoldsville and Decew Town: A History of Power Glen and Vicinity</i>. Historical Society of St. Catharines.Retrieved from <a href='https://brocku.ca/social-sciences/geography/wp-content/uploads/sites/152/Shades-of-Reynoldsville-and-Decew-Town-A-History-of-Power-Glen-and-Vicinity.pdf'>https://brocku.ca/social-sciences/geography/wp-content/uploads/sites/152/Shades-of-Reynoldsville-and-Decew-Town-A-History-of-Power-Glen-and-Vicinity.pdf</a> "
1903,An additional two turbines are added to the plant,"Decew falls Generating Station. (n.d.). Retrieved February 27, 2021, from <a href='http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/</a> "
1904,An additional two reservoirs are created,"Hughes, A. (2008). <i>Shades of Reynoldsville and Decew Town: A History of Power Glen and Vicinity</i>. Historical Society of St. Catharines.Retrieved from <a href='https://brocku.ca/social-sciences/geography/wp-content/uploads/sites/152/Shades-of-Reynoldsville-and-Decew-Town-A-History-of-Power-Glen-and-Vicinity.pdf'>https://brocku.ca/social-sciences/geography/wp-content/uploads/sites/152/Shades-of-Reynoldsville-and-Decew-Town-A-History-of-Power-Glen-and-Vicinity.pdf</a> "
1905,"An additional four turbines are added to the plant, ","Decew falls Generating Station. (n.d.). Retrieved February 27, 2021, from <a href='http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/</a> "
1911,Addition of four new generating units,"Decew falls Generating Station. (n.d.). Retrieved February 27, 2021, from <a href='http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/</a> "
1930,The plant is acquired by the Hydro-Electric Power Commission,"Decew falls Generating Station. (n.d.). Retrieved February 27, 2021, from <a href='http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/</a> "
1967,4/8 oldest generators are shut down,"Decew falls Generating Station. (n.d.). Retrieved February 27, 2021, from <a href='http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/</a> "
1974,The four oldest generators are fully removed from the plant,"Decew falls Generating Station. (n.d.). Retrieved February 27, 2021, from <a href='http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/</a> "
2004,The plant is awarded an IEEE Historical Achievement Recognition Award,"Decew falls Generating Station. (n.d.). Retrieved February 27, 2021, from <a href='http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/'>http://www.technology.niagarac.on.ca/people/mcsele/interest/decew-falls-generating-station/</a> "
