Date,Event,Citation
2004,"The project is approved and a contract is signed, outlining the location and production capacity.","Companies that have  signed contracts with the Ontario government for renewable energy projects, with location and production capacity. (2004, November 24). Canada Newswire. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/companies-that-have-signed-contracts-with-ontario/docview/359716595/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/companies-that-have-signed-contracts-with-ontario/docview/359716595/se-2?accountid=9894</a>"
2004,"AIM constructs seven testing towers on the farm to collect data about the environment (air pressure, wind velocity, etc.).","Zronik, J. P. (2004, December 22). The answer is blowing in the  wind. Expositor. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/answer-is-blowing-wind/docview/346007211/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/answer-is-blowing-wind/docview/346007211/se-2?accountid=9894</a>"
2005,GE Energy signs on to supply 66 wind turbines and to operate and maintain the project for its first four years.,"GE will supply turbines for Erie  Shores wind farm. (2005, March 29). Expositor. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/ge-will-supply-turbines-erie-shores-wind-farm/docview/345997059/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/ge-will-supply-turbines-erie-shores-wind-farm/docview/345997059/se-2?accountid=9894</a>"
2005,The Ontario Energy Board grants the farm permission to begin constructing transmission facilities ,"OEB Approves Erie  Shores Application for Wind Farm Transmission Facilities. (2005, June 27). Canada Newswire. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/oeb-approves-erie-shores-application-wind-farm/docview/453241315/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/oeb-approves-erie-shores-application-wind-farm/docview/453241315/se-2?accountid=9894</a>"
2005,The farm is under construction.,"Media Advisory -  Energy Minister Dwight Duncan to Join Erie Shores Wind Farm for Groundbreaking Ceremony. (2005, July 20). Canada Newswire. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/media-advisory-energy-minister-dwight-duncan-join/docview/455600014/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/media-advisory-energy-minister-dwight-duncan-join/docview/455600014/se-2?accountid=9894</a>"
2005,"The foundation for the turbines is completed, ahead of schedule.","Clean Power Income  Fund Updates Progress of Construction of 99 MW Erie Shores Wind Farm. (2005, December 07). Canada Newswire. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/clean-power-income-fund-updates-progress/docview/455495699/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/clean-power-income-fund-updates-progress/docview/455495699/se-2?accountid=9894</a>"
2006,"The farm is still under construction, and is now able to begin testing its turbines. ","Erie Shores Wind Farm  Starts Commissioning Turbines. (2006, March 07). Canada Newswire. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/erie-shores-wind-farm-starts-commissioning/docview/453196654/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/erie-shores-wind-farm-starts-commissioning/docview/453196654/se-2?accountid=9894</a>"
2006,The farm opens up. Not all turbines are operational. Some need to be worked on and approved for safety.,"Zronik, J. P. (2006, April 15). Erie Shores wind farm powers  up. Expositor. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/erie-shores-wind-farm-powers-up/docview/346060933/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/erie-shores-wind-farm-powers-up/docview/346060933/se-2?accountid=9894</a>"
2006,All 66 turbines are now operational.,"Clean Power Income  Fund Announces First Quarter 2006 Financial Results. (2006, May 15). Canada Newswire. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/clean-power-income-fund-announces-first-quarter/docview/455274843/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/clean-power-income-fund-announces-first-quarter/docview/455274843/se-2?accountid=9894</a>"
2007,County explores the possibility of building a viewing center for tourists.,"Schwass, K., & REFORMER, S. (2007, September 19). Using the  wind turbines to suck in tourists; County to Explore Viewing Centre for Erie Shores Wind Farm. The Simcoe Reformer. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/using-wind-turbines-suck-tourists-county-explore/docview/2177851168/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/using-wind-turbines-suck-tourists-county-explore/docview/2177851168/se-2?accountid=9894</a>"
2008,Plans to expand the farm are put on hold indefinitely.,"Helsdon, J., & MEDIA, S. (2008, December 17). Economic  downturn impacts expansion of wind turbines. The Simcoe Reformer. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/economic-downturn-impacts-expansion-wind-turbines/docview/2167562103/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/economic-downturn-impacts-expansion-wind-turbines/docview/2167562103/se-2?accountid=9894</a>"
