Date,Event,Citation
2003,Project developed,"PowerTechnology. (n.d.). <i>Forrest Kerr Hydroelectric Project, British Columbia</i>. <a href='https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/'>https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/</a>"
2006,Project was sold to NovaGold,"PowerTechnology. (n.d.). <i>Forrest Kerr Hydroelectric Project, British Columbia</i>. <a href='https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/'>https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/</a>"
2008,AltaGas acquired project from NovaGold,"PowerTechnology. (n.d.). <i>Forrest Kerr Hydroelectric Project, British Columbia</i>. <a href='https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/'>https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/</a>"
2010.03,Agreement for a 60-year power purchase,"PowerTechnology. (n.d.). <i>Forrest Kerr Hydroelectric Project, British Columbia</i>. <a href='https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/'>https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/</a>"
2010.05,Impact Benefit Agreement (IBA) with the Tahltan Central Committee,"PowerTechnology. (n.d.). <i>Forrest Kerr Hydroelectric Project, British Columbia</i>. <a href='https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/'>https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/</a>"
2010.07,Construction started,"PowerTechnology. (n.d.). <i>Forrest Kerr Hydroelectric Project, British Columbia</i>. <a href='https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/'>https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/</a>"
2014.07,Construction completed,"PowerTechnology. (n.d.). <i>Forrest Kerr Hydroelectric Project, British Columbia</i>. <a href='https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/'>https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/</a>"
2014.1,Completed 72-hour test,"PowerTechnology. (n.d.). <i>Forrest Kerr Hydroelectric Project, British Columbia</i>. <a href='https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/'>https://www.power-technology.com/projects/forrest-kerr-hydroelectric-project-british-columbia/</a>"
2018.1,Negotiation and due diligence between companies and the Tahltan Nation,"Chan, C. (2019, July 29). <i>Tahltan Nation announces largest clean energy investment in B.C. history</i>. Vancouver Sun. Retrieved from <a href='https://vancouversun.com/news/local-news/tahltan-nation-announces-largest-clean-energy-investment-in-b-c-history'>https://vancouversun.com/news/local-news/tahltan-nation-announces-largest-clean-energy-investment-in-b-c-history</a>"
2018.12,Agreement with Tahltan Nation was set,"Chan, C. (2019, July 29). <i>Tahltan Nation announces largest clean energy investment in B.C. history</i>. Vancouver Sun. Retrieved from <a href='https://vancouversun.com/news/local-news/tahltan-nation-announces-largest-clean-energy-investment-in-b-c-history'>https://vancouversun.com/news/local-news/tahltan-nation-announces-largest-clean-energy-investment-in-b-c-history</a>"
2019,Tahltan Nation announced their investment,"Chan, C. (2019, July 29). <i>Tahltan Nation announces largest clean energy investment in B.C. history</i>. Vancouver Sun. Retrieved from <a href='https://vancouversun.com/news/local-news/tahltan-nation-announces-largest-clean-energy-investment-in-b-c-history'>https://vancouversun.com/news/local-news/tahltan-nation-announces-largest-clean-energy-investment-in-b-c-history</a>"
2019,Project received 2019 Clean Energy BC (CEBC) award,"Barker, T. (2019, November 6). <i>Northwest BC hydroelectric facility honoured for operational excellence: Tahltan Nation also receive a Finance Award for their purchase of a stake in the project</i>. The Interior News. Retrieved from <a href='https://www.interior-news.com/news/northwest-bc-hydroelectric-facility-honoured-for-operational-excellence/'>roject</i>. The Interior News. Retrieved from <a href='https://www.interior-news.com/news/northwest-bc-hydroelectric-facility-honoured-for-operational-excellence/</a>"
