Date,Event,Citation
2009,"proposition for biomass energy in Nova Scotia met with backlash, but provincial government rebuttled and showed job possibilities","The Times Moncton, N.B.. (2009). <i>Nova Scotia in heated debate over biomass; Proposal to harvest trees and burn wood for energy meets different opinions</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/423014637/47672B5AE8374F70PQ/17?accountid=9894'</a>"
2009,Renewable energy target goals are set after concerns of whether it was really environmentally viable,"The Times Moncton, N.B.. (2009). <i>Nova Scotia in heated debate over biomass; Proposal to harvest trees and burn wood for energy meets different opinions</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/423014637/47672B5AE8374F70PQ/17?accountid=9894'</a>"
2010,Proposals were submitted to spend $200 million on a renewable biomass energy project. Nova Scotia Power applied to build the Port Hawkesbury power plant. The propositions were issued and reviewed by the Nova Scotia Utility Review Board.,Telegraph-Journal. (2010). <i>Nova Scotia biomass project hearings on hold pending review of alternatives</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/734441056/BDCD3F26CD44633PQ/3?accountid=9894'</a>
2010,The Nova Scotia Power proposal won the bid for a biomass power plant construction in Port Hawkesbury for $208 million. Nova Scotia Power won the bid because it was seen as the best likelihood of reaching the renewable energy standard of 25% of the province’s energy to come from renewable resources by 2015 which was set by the province officials.,The Canadian Press. (2010). <i>Nova Scotia Power says biomass project best opportunity for renewable energy</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/755103973/BDCD3F26CD44633PQ/7?accountid=9894'</a>
2010,"Nova Scotia’s biomass energy policies and ecological practices were being reviewed by the Natural Resources Strategy members: Constance Glube, Joe Marshall, and Allan Shaw because it was warned that the forestry industry and resources in Nova Scotia were finite and local biomass sources would not be able to support the growing and dependent industry. Concerns were growing for the protection of the forests. While there were concerns about the forests, nothing came of these talks and the construction remained approved.","The Times Moncton, N.B.. (2009). <i>Nova Scotia in heated debate over biomass; Proposal to harvest trees and burn wood for energy meets different opinions</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/423014637/47672B5AE8374F70PQ/17?accountid=9894'</a>"
2011,"The construction of Port Hawkesbury biomass power plant began. There were intentions to burn 650,000 tons of biomass a year. Biomass is requested and supplied by sources around the province and by the Nova Scotia Northern Pulp Mill. The Port Hawkesbury power plant wants sources of biomass to be from wood or sawdust, agricultural waste or organic material.",Pulp & Paper Canada. (2011). <i> Construction begins on Point Tupper biomass cogeneration facility</i>. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/878054868/fulltextPDF/2D9A1D772C604AAFPQ/3?accountid=9894'</a>
2012,"The steam turbine needed in biomass power plants was built (outsourced) by Mitsubishi Heavy Industries in Yokohama, Japan. It weighed 150 tonnes and was delivered to Nova Scotia in April 2012.","Macklin, A. (2015) <i>Separate but connected: Biomass power and Port Hawkesbury Paper</i>. Retrieved from <a href='https://www.pulpandpapercanada.com/separate-but-connected-biomass-power-and-port-hawkesbury-paper-1100000041/</a>"
2012,"Nova Scotia Power, in association with the government, has increased its rates on electricity utilities, making them much higher than in other provinces, despite having biomass as an energy source. This increase was met with significant backlash and criticism during December 2012 by the locals as prices have increased by 25% in the last 3 years and are projected to keep increasing in prices.","Nelson, S. (2012). <i>Nova Scotia legislators: Bids should have been sought for 30-MW plant</i>. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/docview/1239960876?accountid=9894&pq-origsite=primo' </a>"
2012,"Nova Scotia Power was accused of being a monopoly within the province and faced even more criticism with protests around the power plant. It was called a monopoly because the government allowed Emera, the owners of Nova Scotia Power to buy a 30 MW biomass power plant called “Brooklyn Energy” instead of accepting bids like in 2009. The opposition to the local government in 2012 thought it was malpractice to not accept bids and led to dissatisfaction.","Nelson, S. (2012). <i>Nova Scotia legislators: Bids should have been sought for 30-MW plant</i>. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/docview/1239960876?accountid=9894&pq-origsite=primo' </a>"
2013,The Port Hawkesbury biomass power plant was in full operation and by October was providing 4% of Nova Scotia’s electricity.,Saltwire. (2017). <i>Biomass plant offically opens in Point Tupper</i>. Retrieved from <a href='https://www.capebretonpost.com/news/local/biomass-plant-offically-opens-in-point-tupper-5226/</a>
