Date,Event,Citation
2008,In a proposal to construct a commercial wind turbine ,"Carriagg, D. (2008, June 17). Grouse hopes to build wind turbine Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/269536910/AE1405A07246EEPQ/26?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/269536910/AE1405A07246EEPQ/26?accountid=9894</a>"
2008,continuation of the approval process to the City of Vancouver. ,"Weldon, J. (2008, October 05). Grouse hopes for wind turbine assent Monday; 34-storet landmark will power 20% of resort Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/361522645/AE1405A07246EEPQ/32?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/361522645/AE1405A07246EEPQ/32?accountid=9894</a>"
2008,Votes 4-3 to approve the construction of Grouse Mountain’s wind turbine. ,"Ivens, I. (2008, October 07). Council Oks huge wind turbine on Grouse; Large tower will be visible from all over region Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/269515999/AE1405A07246EEPQ/34?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/269515999/AE1405A07246EEPQ/34?accountid=9894</a>"
2009,Construction begins ,"Pynn, L. (2009, June 27). Massive wind turbine ready for airlift; Heavy-lift helicopter will fly pieces to the top of Grouse Mountain chairlift Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/243971772/AE1405A07246EEPQ/12?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/243971772/AE1405A07246EEPQ/12?accountid=9894</a>"
2009,The attempt to lift the large wind turbine blades via helicopter to Grouse Mountain was delayed ,"Karp, D. (2009, July 03). Installation of wind turbine delayed Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/243968314/AE1405A07246EEPQ/30?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/243968314/AE1405A07246EEPQ/30?accountid=9894</a>"
2009,The first of three turbines were successfully delivered to the top of Grouse Mountain. ,"Anonymous. (2009, July 10). 20-storey wind turbine blades helicoptered to Grouse Mountain Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/372857635/AE1405A07246EEPQ/9?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/372857635/AE1405A07246EEPQ/9?accountid=9894</a>"
2010,Ribbon cutting ceremony,"Aldous, R. (2010, February 05). B.C. Premier cuts ribbon for Eye of the Wind Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/372792632/AE1405A07246EEPQ/37?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/372792632/AE1405A07246EEPQ/37?accountid=9894</a>"
2010, BC Hydro refuses to sign off and allow electricity production to begin on the completed turbine.,"Anderson, F. (2010, April 13). Dispute keeps Grouse Mountain’s wind turbine from turning; BC Hydro not satisfied with project so it won’t sign off to allow electricity production on the ski hill Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/243916243/AE1405A07246EEPQ/2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/243916243/AE1405A07246EEPQ/2?accountid=9894</a>"
2010,The observation deck of Grouse Mountain’s Eye of the Wind turbine opens to the public,"Scalza, M. (2010, August 19). Inside the New Wind Turbine at Grouse Mountain Retrieved From. Retrieved from <a href='https://www.insidevancouver.ca/2010/08/19/inside-the-new-wind-turbine-at-grouse-mountain/'>https://www.insidevancouver.ca/2010/08/19/inside-the-new-wind-turbine-at-grouse-mountain/</a>"
2010,Power generation from the project was expected within two weeks.,"Aldous, R. (2010, August 18). Grouse Mountain’s wind turbine set to produce power Retrieved from the Academic Database. Retrieved from <a href='https://go-gale-com.proxy.library.carleton.ca/ps/retrieve.do?tabID=T004&resultListType=RESULT_LIST&searchResultsType=SingleTab&hitCount=1&searchType=AdvancedSearchForm&currentPosition=1&docId=GALE%7CA234927860&docType=Brief+article&sort=RELEVANCE&contentSegment=ZCPQ-MOD1&prodId=CPI&pageNum=1&contentSet=GALE%7CA234927860&searchId=R1&userGroupName=ocul_carleton&in'>https://go-gale-com.proxy.library.carleton.ca/ps/retrieve.do?tabID=T004&resultListType=RESULT_LIST&searchResultsType=SingleTab&hitCount=1&searchType=AdvancedSearchForm&currentPosition=1&docId=GALE%7CA234927860&docType=Brief+article&sort=RELEVANCE&contentSegment=ZCPQ-MOD1&prodId=CPI&pageNum=1&contentSet=GALE%7CA234927860&searchId=R1&userGroupName=ocul_carleton&in</a>"
2010,Wind turbine to begin generating electricity for the first time.,"Morton, B. (2010, September 23). Grouse turbine begins to generate electricity; North Shore mountain’s Eye of the Wind is capable of powering about 400 homes a year Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/754927439/AE1405A07246EEPQ/11?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/754927439/AE1405A07246EEPQ/11?accountid=9894</a>"
2012,Reports reveal avian deaths caused by The Eye of the Wind.,"Crawford, T. (2012, June 15). Approval sought for wind turbine in residential area Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/1020813848/AE1405A07246EEPQ/15?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/1020813848/AE1405A07246EEPQ/15?accountid=9894</a>"
2016,The Grouse Mountain Ski Resort is put up for sale ,"Derrick, P. (2016, September 20). Grouse Mountain owners put resort up for sale Retrieved from the Academic Database. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/1821773013/AE1405A07246EEPQ/18?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/canadiannews/docview/1821773013/AE1405A07246EEPQ/18?accountid=9894</a>"
