Date,Event,Citation
Pre-2011 (Unknown),A power purchase agreement for a twenty-year time period,"Ali, Y. (2011, June 10). Invenergy opens 78 MW Raleigh wind farm in Ontario. Retrieved from <a href='https://renewablesnow.com/news/invenergy-opens-78-mw-raleigh-wind-farm-in-ontario-125599/'>https://renewablesnow.com/news/invenergy-opens-78-mw-raleigh-wind-farm-in-ontario-125599/</a>"
Pre-2011 (Unknown),The project was approved to be part of Renewable Power program,"EcoENERGY for Renewable Power. (2020, July 29). Natural Resources Canada. Retrieved from <a href='https://www.nrcan.gc.ca/nrcan/ecoenergy-renewable-power/14145'>https://www.nrcan.gc.ca/nrcan/ecoenergy-renewable-power/14145</a>"
2011,Official opening ,"Ali, Y. (2011, June 10). Invenergy opens 78 MW Raleigh wind farm in Ontario. Retrieved from <a href='https://renewablesnow.com/news/invenergy-opens-78-mw-raleigh-wind-farm-in-ontario-125599/'>https://renewablesnow.com/news/invenergy-opens-78-mw-raleigh-wind-farm-in-ontario-125599/</a>"
2015,Acquired by TerraForm Power,"Raleigh wind project to have new owner ; ENERGY: Transactionto close later this year. (2015, July 14). Chatham Daily News. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2215415069/ED86831402AF490FPQ/1?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2215415069/ED86831402AF490FPQ/1?accountid=9894</a>"
2018,One of the wind turbines collapses. Immediate shut down of all wind turbines and the area was closed off.,"Wind turbine topples in Chatham-Kent. (2018, January 20). The Windsor Star. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/1992177994/ED86831402AF490FPQ/5?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/1992177994/ED86831402AF490FPQ/5?accountid=9894</a>"
2018,An investigation began.,"Wind turbine topples in Chatham-Kent. (2018, January 20). The Windsor Star. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/1992177994/ED86831402AF490FPQ/5?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/1992177994/ED86831402AF490FPQ/5?accountid=9894</a>"
2018,Citizen groups and MPs voice concern and opposition to wind turbines,"Shreve, E. (2018, January 23). The Sun Times. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2191967674/ED86831402AF490FPQ/10?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2191967674/ED86831402AF490FPQ/10?accountid=9894</a>"
2018,22 of 52 turbines in Raleigh Wind Power facility returned to service,"Shreve, E. (2018, February 14). Chatham Daily News. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2196268568/ED86831402AF490FPQ/3?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2196268568/ED86831402AF490FPQ/3?accountid=9894</a>"
2018,The Raleigh Wind Power facility returns to full service,"One faulty blade caused turbine on wind farm to collapse, TerraForm Power says. (2018, April 4). Postmedia Network. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2021707031/ED86831402AF490FPQ/4?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2021707031/ED86831402AF490FPQ/4?accountid=9894</a>"
2018,Investigation found that the turbine collapsed because of issues with one defective blade. No problems were discovered with other turbines.,"One faulty blade caused turbine on wind farm to collapse, TerraForm Power says. (2018, April 4). Postmedia Network. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2021707031/ED86831402AF490FPQ/4?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2021707031/ED86831402AF490FPQ/4?accountid=9894</a>"
