Date,Event,Citation
2001,A proposed wind turbine in the Kingston area,"$260 Million Federal Program Announcement Encourages Kingston and Eastern Ontario Wind Project Advocates. (2001, December 18). Canada Newswire. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/260-million-federal-program-announcement/docview/455446203/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/260-million-federal-program-announcement/docview/455446203/se-2?accountid=9894</a>"
2001,Wolfe Island extremely favourably to be a prime wind farm location.,"$260 Million Federal Program Announcement Encourages Kingston and Eastern Ontario Wind Project Advocates. (2001, December 18). Canada Newswire. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/260-million-federal-program-announcement/docview/455446203/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/260-million-federal-program-announcement/docview/455446203/se-2?accountid=9894</a>"
2002,"Set to receive $55,000 in federal start-up funding.","Phillips, A. (2002, September 23). Ottawa gives seed money for wind farm: [Final Edition]. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/ottawa-gives-seed-money-wind-farm/docview/352796852/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/ottawa-gives-seed-money-wind-farm/docview/352796852/se-2?accountid=9894</a>"
2005,Canadia Hydro was given a 20-year contract ,"Ross, A. (2010, May 20). Wolfe Island – One Year Later. Retrieved from <a href='https://ontario-wind-resistance.org/2010/05/20/wolfe-island-one-year-later/'>https://ontario-wind-resistance.org/2010/05/20/wolfe-island-one-year-later/</a>"
2005,Purchased  by The Ontario Power Authority ,"Ross, A. (2010, May 20). Wolfe Island – One Year Later. Retrieved from <a href='https://ontario-wind-resistance.org/2010/05/20/wolfe-island-one-year-later/'>https://ontario-wind-resistance.org/2010/05/20/wolfe-island-one-year-later/</a>"
2008,TransAlta offered Canadian Hydro $654 million for the wind farm and Hydro rejected the offer.,"Hendra, P. (2009, September 23). Wind project on solid ground. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/wind-project-on-solid-ground-analyst/docview/2201002884/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/wind-project-on-solid-ground-analyst/docview/2201002884/se-2?accountid=9894</a>"
2008,Construction of the Wolfe Island wind farm begins. ,"Pritchett, J. (2008, July 11). The winds of change; football field-sized barge begins delivery of the 86 turbines that are to be installed on the west end of wolfe island. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/wolfe-island-wind-farm-construction-begins/docview/2191150018/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/wolfe-island-wind-farm-construction-begins/docview/2191150018/se-2?accountid=9894</a>"
2008,86 turbines to be installed on the west end.,"Armstrong, F. (2008, August 12). Wolfe Island wind farm construction begins; Workers widen roads, build new ones to prepare for arrival of 86 giant turbines. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/winds-change-football-field-sized-barge-begins/docview/2191685518/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/winds-change-football-field-sized-barge-begins/docview/2191685518/se-2?accountid=9894</a>"
2009,Start date for full electricity generation to be pushed to June 30.,"Anonymous. (2009, February 14). Canada. Wind farm delayed. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/canada-wind-farm-delayed/docview/241267454/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/canada-wind-farm-delayed/docview/241267454/se-2?accountid=9894</a>"
2009,The Wind farm Started generating power,"Ross, A. (2010, May 20). Wolfe Island – One Year Later. Retrieved from <a href='https://www.google.com/url?q=https://ontario-wind-resistance.org/2010/05/20/wolfe-island-one-year-later/&sa=D&source=editors&ust=1614532055438000&usg=AOvVaw3UUzmZ9g2FcLSdKAP8GrFz'>https://www.google.com/url?q=https://ontario-wind-resistance.org/2010/05/20/wolfe-island-one-year-later/&sa=D&source=editors&ust=1614532055438000&usg=AOvVaw3UUzmZ9g2FcLSdKAP8GrFz</a>"
