"Year","Type","Count"
1890,"Biomass",0
1890,"Hydroelectric",1
1890,"Solar",0
1890,"Tidal",0
1890,"Wind",0
1891,"Biomass",0
1891,"Hydroelectric",1
1891,"Solar",0
1891,"Tidal",0
1891,"Wind",0
1892,"Biomass",0
1892,"Hydroelectric",1
1892,"Solar",0
1892,"Tidal",0
1892,"Wind",0
1893,"Biomass",0
1893,"Hydroelectric",1
1893,"Solar",0
1893,"Tidal",0
1893,"Wind",0
1894,"Biomass",0
1894,"Hydroelectric",1
1894,"Solar",0
1894,"Tidal",0
1894,"Wind",0
1895,"Biomass",0
1895,"Hydroelectric",1
1895,"Solar",0
1895,"Tidal",0
1895,"Wind",0
1896,"Biomass",0
1896,"Hydroelectric",1
1896,"Solar",0
1896,"Tidal",0
1896,"Wind",0
1897,"Biomass",0
1897,"Hydroelectric",1
1897,"Solar",0
1897,"Tidal",0
1897,"Wind",0
1898,"Biomass",0
1898,"Hydroelectric",1
1898,"Solar",0
1898,"Tidal",0
1898,"Wind",0
1899,"Biomass",0
1899,"Hydroelectric",1
1899,"Solar",0
1899,"Tidal",0
1899,"Wind",0
1900,"Biomass",0
1900,"Hydroelectric",1
1900,"Solar",0
1900,"Tidal",0
1900,"Wind",0
1901,"Biomass",0
1901,"Hydroelectric",1
1901,"Solar",0
1901,"Tidal",0
1901,"Wind",0
1902,"Biomass",0
1902,"Hydroelectric",1
1902,"Solar",0
1902,"Tidal",0
1902,"Wind",0
1903,"Biomass",0
1903,"Hydroelectric",1
1903,"Solar",0
1903,"Tidal",0
1903,"Wind",0
1904,"Biomass",0
1904,"Hydroelectric",1
1904,"Solar",0
1904,"Tidal",0
1904,"Wind",0
1905,"Biomass",0
1905,"Hydroelectric",1
1905,"Solar",0
1905,"Tidal",0
1905,"Wind",0
1906,"Biomass",0
1906,"Hydroelectric",1
1906,"Solar",0
1906,"Tidal",0
1906,"Wind",0
1907,"Biomass",0
1907,"Hydroelectric",1
1907,"Solar",0
1907,"Tidal",0
1907,"Wind",0
1908,"Biomass",0
1908,"Hydroelectric",1
1908,"Solar",0
1908,"Tidal",0
1908,"Wind",0
1909,"Biomass",0
1909,"Hydroelectric",1
1909,"Solar",0
1909,"Tidal",0
1909,"Wind",0
1910,"Biomass",0
1910,"Hydroelectric",1
1910,"Solar",0
1910,"Tidal",0
1910,"Wind",0
1911,"Biomass",0
1911,"Hydroelectric",1
1911,"Solar",0
1911,"Tidal",0
1911,"Wind",0
1912,"Biomass",0
1912,"Hydroelectric",1
1912,"Solar",0
1912,"Tidal",0
1912,"Wind",0
1913,"Biomass",0
1913,"Hydroelectric",1
1913,"Solar",0
1913,"Tidal",0
1913,"Wind",0
1914,"Biomass",0
1914,"Hydroelectric",1
1914,"Solar",0
1914,"Tidal",0
1914,"Wind",0
1915,"Biomass",0
1915,"Hydroelectric",1
1915,"Solar",0
1915,"Tidal",0
1915,"Wind",0
1916,"Biomass",0
1916,"Hydroelectric",1
1916,"Solar",0
1916,"Tidal",0
1916,"Wind",0
1917,"Biomass",0
1917,"Hydroelectric",1
1917,"Solar",0
1917,"Tidal",0
1917,"Wind",0
1918,"Biomass",0
1918,"Hydroelectric",1
1918,"Solar",0
1918,"Tidal",0
1918,"Wind",0
1919,"Biomass",0
1919,"Hydroelectric",1
1919,"Solar",0
1919,"Tidal",0
1919,"Wind",0
1920,"Biomass",0
1920,"Hydroelectric",1
1920,"Solar",0
1920,"Tidal",0
1920,"Wind",0
1921,"Biomass",0
1921,"Hydroelectric",2
1921,"Solar",0
1921,"Tidal",0
1921,"Wind",0
1922,"Biomass",0
1922,"Hydroelectric",2
1922,"Solar",0
1922,"Tidal",0
1922,"Wind",0
1923,"Biomass",0
1923,"Hydroelectric",2
1923,"Solar",0
1923,"Tidal",0
1923,"Wind",0
1924,"Biomass",0
1924,"Hydroelectric",2
1924,"Solar",0
1924,"Tidal",0
1924,"Wind",0
1925,"Biomass",0
1925,"Hydroelectric",2
1925,"Solar",0
1925,"Tidal",0
1925,"Wind",0
1926,"Biomass",0
1926,"Hydroelectric",2
1926,"Solar",0
1926,"Tidal",0
1926,"Wind",0
1927,"Biomass",0
1927,"Hydroelectric",2
1927,"Solar",0
1927,"Tidal",0
1927,"Wind",0
1928,"Biomass",0
1928,"Hydroelectric",2
1928,"Solar",0
1928,"Tidal",0
1928,"Wind",0
1929,"Biomass",0
1929,"Hydroelectric",2
1929,"Solar",0
1929,"Tidal",0
1929,"Wind",0
1930,"Biomass",0
1930,"Hydroelectric",2
1930,"Solar",0
1930,"Tidal",0
1930,"Wind",0
1931,"Biomass",0
1931,"Hydroelectric",2
1931,"Solar",0
1931,"Tidal",0
1931,"Wind",0
1932,"Biomass",0
1932,"Hydroelectric",2
1932,"Solar",0
1932,"Tidal",0
1932,"Wind",0
1933,"Biomass",0
1933,"Hydroelectric",2
1933,"Solar",0
1933,"Tidal",0
1933,"Wind",0
1934,"Biomass",0
1934,"Hydroelectric",2
1934,"Solar",0
1934,"Tidal",0
1934,"Wind",0
1935,"Biomass",0
1935,"Hydroelectric",2
1935,"Solar",0
1935,"Tidal",0
1935,"Wind",0
1936,"Biomass",0
1936,"Hydroelectric",2
1936,"Solar",0
1936,"Tidal",0
1936,"Wind",0
1937,"Biomass",0
1937,"Hydroelectric",2
1937,"Solar",0
1937,"Tidal",0
1937,"Wind",0
1938,"Biomass",0
1938,"Hydroelectric",2
1938,"Solar",0
1938,"Tidal",0
1938,"Wind",0
1939,"Biomass",0
1939,"Hydroelectric",2
1939,"Solar",0
1939,"Tidal",0
1939,"Wind",0
1940,"Biomass",0
1940,"Hydroelectric",2
1940,"Solar",0
1940,"Tidal",0
1940,"Wind",0
1941,"Biomass",0
1941,"Hydroelectric",2
1941,"Solar",0
1941,"Tidal",0
1941,"Wind",0
1942,"Biomass",0
1942,"Hydroelectric",3
1942,"Solar",0
1942,"Tidal",0
1942,"Wind",0
1943,"Biomass",0
1943,"Hydroelectric",3
1943,"Solar",0
1943,"Tidal",0
1943,"Wind",0
1944,"Biomass",0
1944,"Hydroelectric",3
1944,"Solar",0
1944,"Tidal",0
1944,"Wind",0
1945,"Biomass",0
1945,"Hydroelectric",3
1945,"Solar",0
1945,"Tidal",0
1945,"Wind",0
1946,"Biomass",0
1946,"Hydroelectric",4
1946,"Solar",0
1946,"Tidal",0
1946,"Wind",0
1947,"Biomass",0
1947,"Hydroelectric",4
1947,"Solar",0
1947,"Tidal",0
1947,"Wind",0
1948,"Biomass",0
1948,"Hydroelectric",4
1948,"Solar",0
1948,"Tidal",0
1948,"Wind",0
1949,"Biomass",0
1949,"Hydroelectric",4
1949,"Solar",0
1949,"Tidal",0
1949,"Wind",0
1950,"Biomass",0
1950,"Hydroelectric",4
1950,"Solar",0
1950,"Tidal",0
1950,"Wind",0
1951,"Biomass",0
1951,"Hydroelectric",4
1951,"Solar",0
1951,"Tidal",0
1951,"Wind",0
1952,"Biomass",0
1952,"Hydroelectric",4
1952,"Solar",0
1952,"Tidal",0
1952,"Wind",0
1953,"Biomass",0
1953,"Hydroelectric",5
1953,"Solar",0
1953,"Tidal",0
1953,"Wind",0
1954,"Biomass",0
1954,"Hydroelectric",5
1954,"Solar",0
1954,"Tidal",0
1954,"Wind",0
1955,"Biomass",0
1955,"Hydroelectric",5
1955,"Solar",0
1955,"Tidal",0
1955,"Wind",0
1956,"Biomass",0
1956,"Hydroelectric",5
1956,"Solar",0
1956,"Tidal",0
1956,"Wind",0
1957,"Biomass",0
1957,"Hydroelectric",5
1957,"Solar",0
1957,"Tidal",0
1957,"Wind",0
1958,"Biomass",0
1958,"Hydroelectric",6
1958,"Solar",0
1958,"Tidal",0
1958,"Wind",0
1959,"Biomass",0
1959,"Hydroelectric",6
1959,"Solar",0
1959,"Tidal",0
1959,"Wind",0
1960,"Biomass",0
1960,"Hydroelectric",6
1960,"Solar",0
1960,"Tidal",0
1960,"Wind",0
1961,"Biomass",0
1961,"Hydroelectric",6
1961,"Solar",0
1961,"Tidal",0
1961,"Wind",0
1962,"Biomass",0
1962,"Hydroelectric",6
1962,"Solar",0
1962,"Tidal",0
1962,"Wind",0
1963,"Biomass",0
1963,"Hydroelectric",6
1963,"Solar",0
1963,"Tidal",0
1963,"Wind",0
1964,"Biomass",0
1964,"Hydroelectric",6
1964,"Solar",0
1964,"Tidal",0
1964,"Wind",0
1965,"Biomass",0
1965,"Hydroelectric",6
1965,"Solar",0
1965,"Tidal",0
1965,"Wind",0
1966,"Biomass",0
1966,"Hydroelectric",6
1966,"Solar",0
1966,"Tidal",0
